date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2025-05-07,印度,中国,CTS BEARING HOUSE,QINGDAO HIKING YICAITONG MARKET PURCHASING CO LTD,"A7 , Mulund Jaimala CHS, K N Centre, N S Road, Mulund West null",,,,,CHINA,,Qingdao,NHAVA SHEVA SEA (INNSA1),84821090,LINEAR MOTION BEARING ( 18626 PCS ) LINEAR MOTION BEARING ( 18626 PCS ),,3086.0,KGS,3086.0,18859.7697,G8JI76T4U6IEX,,
2025-05-16,越南,中国,CÔNG TY TNHH P&F BROTHERS VIET NAM,HANGZHOU SILVERSTONE MACHINERY INDUSTRY CO LTD,"Lô H, Khu công nghiệp Lộc An - Bình Sơn, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam","NO.951 QINGLIU BEI ROAD, XIAOSHAN JIANG DONG, INDUSTRIAL AREA HANGZHOU, ZHEJIANG CHINA, CN",,,,China,,,,84821000,"Bạc đạn ổ bi (bằng thép)-LINEAR BALL BEARING (7HF01/054008-200). Hàng mới 100%,LINEAR BALL BEARING (7HF01/054008-200). 100% new",,28160.0,Pieces,0.0,18585.6,,,
2025-02-19,印度,中国,FINE BEARING AND OIL SEAL STORE,NINGBO MIKATE TRANSMISSION TECHNOLO,13199/16 LINK ROAD,,,,,CHINA,,Ningbo,NHAVA SHEVA SEA (INNSA1),84821090,LINEAR BEARINGS LINEAR BEARINGS,,15000.0,NOS,0.0,18057.4394,4VVWQPFIY5NOE,,
2025-05-29,印度,中国,FINE BEARING AND OIL SEAL STORE,NINGBO MIKATE TRANSMISSION TECHNOLO,13199/16 LINK ROAD,,,,,CHINA,,Ningbo,NHAVA SHEVA SEA (INNSA1),84821090,LINEAR BEARINGS (MODEL NO. KH3050PP) LINEAR BEARINGS (MODEL NO. KH3050PP),,15000.0,NOS,0.0,18025.1024,P9DPR2750VB0Z,,
2025-09-17,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Land Lot No. Tt3-09, Land Jam, Thuong Cat Ward, Hanoi City, Vietnam","NO.1, LANE 333,MINYI ST, FUAN VILLAGE SIOUSHUEI  TOWNSHIP, CHANGHUA COUNTY 50444, TW",,,,Taiwan,,,,84821000,"Con trượt ARC15MN S V1N bộ phận của thanh tuyến tính dẫn hướng, bằng thép, có ổ bi, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,Slider ARC15MN S V1N parts of the linear guide, steel ball bearings, machine parts metal machining. MANUFACTURER: CPC, 100% new",,1500.0,Pieces,0.0,17985.0,,,
2025-11-01,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Plot No. TT3-09, Land Plot Area, Lien Mac Ward, Bac Tu Liem District, Hanoi City, Vietnam.","NO.1, LANE 333,MINYI ST, FUAN VILLAGE SIOUSHUEI  TOWNSHIP, CHANGHUA COUNTY 50444, TAIWAN, TW",,,,Taiwan,,,,84821000,"Con trượt ARC15MN S V1N bộ phận của thanh tuyến tính dẫn hướng, bằng thép, có ổ bi,,hiệu CPC,, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,The ARC15MN S V1N linear slide is a component of a linear guide rail, made of steel, with ball bearings, manufactured by CPC, a spare part for metalworking machinery. Manufacturer: CPC, 100% new.",,1500.0,Pieces,0.0,17985.0,,,
2025-09-27,印度,中国,FINE BEARING AND OIL SEAL STORE,NINGBO MIKATE TRANSMISSION TECHNOLO,13199/16 LINK ROAD,"GY CO., LTD.NO.9 SHANGSHAO EAST ARE ZHUANGQIAO STREET, JIANGBEI DIST. NINGBO CITY P.R. CHINA, CHINA",,,,China (CN),,Ningbo,,84821090,LINEAR BEARINGS (MODEL NO. KH3050PP) LINEAR BEARINGS (MODEL NO. KH3050PP),,15000.0,NOS,0.0,17815.03,,,
2025-07-09,印度,中国,FINE BEARING AND OIL SEAL STORE,NINGBO MIKATE TRANSMISSION TECHNOLO,13199/16 LINK ROAD,,,,,CHINA,,Ningbo,NHAVA SHEVA SEA (INNSA1),84821090,LINEAR BEARINGS (MODEL NO. KH3050PP) LINEAR BEARINGS (MODEL NO. KH3050PP),,15000.0,NOS,0.0,17791.6061,QD22AB8H7WVHJ,,
2025-07-18,越南,中国,CÔNG TY TNHH P&F BROTHERS VIET NAM,HANGZHOU SILVERSTONE MACHINERY INDUSTRY CO LTD,"Lot H, Loc An - Binh Son Industrial Park, Long Thanh Commune, Dong Nai Province, Vietnam","NO.951 QINGLIU BEI ROAD, XIAOSHAN JIANG DONG, INDUSTRIAL AREA HANGZHOU, ZHEJIANG CHINA, ZZ",,,,China,,,,84821000,"Bạc đạn ổ bi (bằng thép)-LINEAR BALL BEARING (7HF01/054008-200). Hàng mới 100%,LINEAR BALL BEARING (7HF01/054008-200). 100% new",,24000.0,Pieces,0.0,15840.0,,,
2025-02-12,俄罗斯,中国,VOSTOK TREIDING SERVIS OOO,SHANGHAI CANYAO INDUSTRY CO LTD,"690054, ПРИМОРСКИЙ КРАЙ, Г. ВЛАДИВОСТОК, УЛ.РАЗИНА, ДОМ 8",", SHANGHAI, NO.1698 MINYI ROAD, SONGJIANG, DISTRICT.,..",,,"SHANGHAI CANYAO INDUSTRY CO., LTD",China (CN),Russia,,,8482990000,"ROLLING BEARING PARTS FOR LINEAR MOVEMENT – RAIL GUIDES OF VARIOUS MODELS: METAL STRUCTURES IN THE FORM OF STRIPS, IN SECTION – RECTANGULAR, HAVING NOTCHES ON BOTH SIDES – ROLLING RACES (ALONG WHICH THE BALLS OF THE CARRIAGES MOVES)",,0.0,,1224.0,15096.43,,,НЕ ОБОЗНАЧЕН
2025-04-10,肯尼亚,中国,OIL SEALS AND BEARING CENTRE LIMITED,SYSTECH INDUSTRIES LIMITED,,,,,,China,Kenya,,,8482100000,"BALL BEARINGS,HOUSED BEARING,INSERT/LINEAR BEARING; BALL BEARINGS,HOUSED BEARING",,2562.0,UNT,0.0,14855.6277,,,
2025-07-19,印度,中国,MEET ENTERPRISE,LISHUI YUXUAN AUTOMATION MANUFACTURING CO LTD,"215 2nd Floor Murli Manohar Market, Opp. Hari Om A.C. Market, Revdi Bazzar Cross Road, Kalupur,",,,,,CHINA,,Shanghai,AHEMDABAD ICD (INSBI6),84828000,LINEAR BEARINGS LINEAR BEARINGS,,10742.0,NOS,0.0,14554.8475,HWXCBERZVAFOG,,
2025-04-21,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Land plot number TT3-09, Land Stuck Area, Lien Mac Ward, Bac Tu Liem District, Hanoi City, Vietnam","NO.1, LANE 333, MINYI ST., FUAN VILLAGE, SIOUSHUEI TOWNSHIP, CHANGHUA COUNTY 50444, TAIWAN, TW",,,,Taiwan,,,,84821000,"Con trượt MR9MN SU VCN, bộ phận của thanh tuyến tính dẫn hướng, bằng thép,có ổ bi, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,MR9MN SU VCN slider, part of linear guide bar, steel, with ball bearing, metalworking machine spare part. Manufacturer: CPC, 100% new",,2000.0,Pieces,0.0,14200.0,,,
2025-01-10,俄罗斯,中国,OMZ AO,VOL STAHL SPECIAL STEEL PROFILES SHANGHAI CO LTD,"612740, КИРОВСКАЯ ОБЛАСТЬ, Г.ОМУТНИНСК, УЛ.КОКОВИХИНА, Д. 2,","201803, , SHANGHAI, ROOM 609, NO.6, NO. 58 HEXUAN ROAD, JIADING, ,,..",,,НЕИЗВЕСТЕН,China (CN),Russia,,,8482990000,"PARTS OF LINEAR MOVEMENT BEARINGS - CARRIAGE BEARING ROLLERS. HAS A CYLINDRICAL SHAPE. FOR OWN NEEDS OF JSC """"OMZ"""".",,0.0,,523.838,13286.61,,,НЕИЗВЕСТЕН
2025-09-24,孟加拉国,中国台湾,AKIJ FOOD AND BEVERAGE LTD,KRONES THAILAND CO LTD,"Barobaria,Shahabelissor(Krishnopura",THAILA,,,,TW,,,,84821000,Recirculating linear ball bearing unit 0905321448,,0.0,,217.68,13145.9,,,
2025-04-04,印度,中国,FAIVELEY TRANSPORT RAIL TECHNOLOGIES INDIA PRIVATE,FAIVELEY METRO TECHNOLOGY SHANGHAI CO LTD,"HARITA,  HOSUR, ",,,,,CHINA,,Shanghai,BANGALORE ACC (INBLR4),84825000,12.1800.1094 LINEAR BEARING INA F-609645.KS 12.1800.1094 LINEAR BEARING INA F-609645.KS,,194.0,NOS,0.0,12687.6438,U3LOSJQ7AW6BH,,
2025-02-26,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Land Lot No. Tt3-09, Land Jam, Lien Mac Ward, Bac Tu Liem District, Hanoi City, Vietnam.","NO.1, LANE 333,MINYI ST, FUAN VILLAGE SIOUSHUEI  TOWNSHIP, CHANGHUA COUNTY 50444, TAIWAN, TW",,,,Taiwan,,,,84821000,"Con trượt ARC15MN S V1N bộ phận của thanh tuyến tính dẫn hướng, bằng thép, có ổ bi, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,ARC15MN S V1N linear guide rail part, steel, with ball bearing, metalworking machine spare part. Manufacturer: CPC, 100% new",,1000.0,Pieces,0.0,11990.0,,,
2025-06-14,越南,中国台湾,CÔNG TY TNHH TEKSAN SOLUTIONS,FUBISHAN PRECISION TECHNOLOGY CO LTD,"12th Floor, Diamond Flower Building, No. 48 Le Van Luong Street, Nhan Chinh, Thanh Xuan, Hanoi","1F., NO. 66, FUDE RD., SHALU DIST., TAICHUNG CITY 43341, TAIWAN, TW",,,,Taiwan,,,,84821000,"Bộ thanh trượt (gồm thanh trượt và con trượt có ổ bi) dùng để dẫn hướng truyền động tuyến tính,MSHW12HRM-R470, chất liệu bằng thép, kích thước 470mm x Rộng:30mm, cao :12mm.Hàng mới 100%,Slider set (including slide and ball bearing slider) used for linear motion guidance, MSHW12HRM-R470, steel material, size 470mm x Width: 30mm, height: 12mm. 100% new",,164.0,Set,0.0,11988.4,,,
2025-02-07,俄罗斯,中国,OMZ AO,VOL STAHL SPECIAL STEEL PROFILES SHANGHAI CO LTD,"612740, КИРОВСКАЯ ОБЛАСТЬ, Г.ОМУТНИНСК, УЛ.КОКОВИХИНА, Д. 2,","201803, , SHANGHAI, ROOM 609, NO.6, NO. 58 HEXUAN ROAD, JIADING, ,,.",,,НЕИЗВЕСТЕН,China (CN),Russia,,,8482990000,"PARTS OF LINEAR MOVEMENT BEARINGS - CARRIAGE BEARING ROLLERS. HAS A CYLINDRICAL SHAPE. FOR OWN NEEDS OF JSC """"OMZ"""".",,0.0,,176.0,11758.45,,,НЕИЗВЕСТЕН
2025-04-20,印度,中国,CREATIVE TRADERS,YIWU ZHUANMEI IMPORT AND EXPORT CO,"D/ 702, VINI CLASSIC COOP HSG  SOC. LTD. M.G. ROAD, ",,,,,CHINA,,Ningbo,NHAVA SHEVA SEA (INNSA1),84822090,MINI LINEAR BEARING MINI LINEAR BEARING,,1450.0,PCS,0.0,11346.1711,DLRWNAYXJEC14,,
2025-01-06,俄罗斯,中国,OMZ AO,VOL STAHL SPECIAL STEEL PROFILES SHANGHAI CO LTD,"612740, КИРОВСКАЯ ОБЛАСТЬ, Г.ОМУТНИНСК, УЛ.КОКОВИХИНА, Д. 2,","201803, , SHANGHAI, ROOM 609, NO.6, NO. 58 HEXUAN ROAD, JIADING, ,,..",,,НЕИЗВЕСТЕН,China (CN),Russia,,,8482990000,"PARTS OF LINEAR MOVEMENT BEARINGS - CARRIAGE BEARING ROLLERS. HAS A CYLINDRICAL SHAPE. FOR OWN NEEDS OF JSC """"OMZ"""".",,0.0,,1375.08,11063.56,,,НЕИЗВЕСТЕН
2025-11-05,印度,中国,AXIS TECHNOLOGIES,ZHEJIANG JINGRUI INTELLIGENT TRANSMISSION CO LTD,"207, ARIHANT TOWER, 2ND FLOOR,83 V. V .CHANDAN STREET, MUMBAI, ","#99, Shangxu Road Lishui Industral Zone Zhejiang, Zhejiang, CHINA SDNF CHINA",,,,China (CN),,Shanghai,NHAVA SHEVA SEA (INNSA1),84828000,LINEAR MOTION BEARINGS LM20UU LINEAR MOTION BEARINGS LM20UU,,30060.0,NOS,0.0,10871.02,,,
2025-01-19,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Land Lot No. Tt3-09, Land Stuck Area, Lien Mac Ward, Bac Tu Liem District, Hanoi City, Vietnam","NO.1, LANE 333, MINYI ST., FUAN VILLAGE, SIOUSHUEI TOWNSHIP, CHANGHUA COUNTY 50444, TAIWAN, TW",,,,Taiwan,,,,84821000,"Con trượt MR9MN SU VCN, bộ phận của thanh tuyến tính dẫn hướng, bằng thép,có ổ bi, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,MR9MN SU VCN slider, part of linear guide bar, steel, with ball bearing, metalworking machine spare part. Manufacturer: CPC, 100% new",,1500.0,Pieces,0.0,10650.0,,,
2025-01-10,印度,中国,AXIS TECHNOLOGIES,ZHEJIANG JINGRUI INTELLIGENT TRANSMISSION CO LTD,"207, ARIHANT TOWER, 2ND FLOOR,83 V. V .CHANDAN STREET, MUMBAI, ",,,,,CHINA,,Ningbo,NHAVA SHEVA SEA (INNSA1),84828000,LINEAR MOTION BEARING LM20UU LINEAR MOTION BEARING LM20UU,,27360.0,PCS,0.0,10568.5622,I8HCZQIRGX46A,,
2025-01-03,印度,中国,CTS BEARING HOUSE,QINGDAO HIKING YICAITONG MARKET PURCHASING CO LTD,"A7 , Mulund Jaimala CHS, K N Centre, N S Road, Mulund West null",,,,,CHINA,,Qingdao,NHAVA SHEVA SEA (INNSA1),84821090,LINEAR MOTION BEARING (8890 PCS) LINEAR MOTION BEARING (8890 PCS),,1727.0,KGS,1727.0,10566.8717,L3KX8H35GAB6X,,
2025-08-14,印度,中国,BHAVI IMPEX,AMLAND GLOBE HK ENTERPRISE LTD,"108,SHUBH SANDESH, 16,  HANSRAJ LANE, BYCULLA, ","ROOM 811,BAILI BUSINESS CENTER,87-1 05, CHATHAM ROAD SOUTH,TSIM SHA TSU I,KOWLOON HONG KONG",,,,China (CN),,Ningbo,,84828000,"LINEAR BEARING BRAND:9KBC,MODEL: LM20UU LINEAR BEARING",,20016.0,NOS,0.0,10268.21,,,
2025-04-01,印度,中国,AXIS TECHNOLOGIES,ZHEJIANG JINGRUI INTELLIGENT TRANSMISSION CO LTD,"207, ARIHANT TOWER, 2ND FLOOR,83 V. V .CHANDAN STREET, MUMBAI, ",,,,,CHINA,,Ningbo,NHAVA SHEVA SEA (INNSA1),84828000,LINEAR MOTION BEARINGS LM20UU LINEAR MOTION BEARINGS LM20UU,,27000.0,PCS,0.0,10249.2613,VOOLSCS6OAR5X,,
2025-07-08,印度,中国,AXIS TECHNOLOGIES,ZHEJIANG JINGRUI INTELLIGENT TRANSMISSION CO LTD,"207, ARIHANT TOWER, 2ND FLOOR,83 V. V .CHANDAN STREET, MUMBAI, ",,,,,CHINA,,Ningbo,NHAVA SHEVA SEA (INNSA1),84828000,LINEAR MOTION BEARINGS LM20UU LINEAR MOTION BEARINGS LM20UU,,27000.0,PCS,0.0,10151.5728,0SVQ7GYDUI59V,,
2025-01-20,俄罗斯,中国,SINO GRANT OOO,ZHEJIANG GUANGDONG HEILONGJIANG TRADE IMPORT&EXPORT LTD,"141070, МОСКОВСКАЯ ОБЛАСТЬ, Г.КОРОЛЕВ, УЛ.ФРУНЗЕ 1А, ПОМЕЩЕНИЕ III, ОФ.303,","NO.1091, NANJING ROAD, LIMIN DEVELOPMENT ZONE, HARBIN, ROOM 1, FLOOR 6, UNIT 3,",,,"LUOYANG MONTON BEARING SCIENCE & TECHNOLOGY CO.,LTD.",China (CN),Russia,,,8482109008,"BALL BEARINGS, SINGLE ROW, WITH A MAXIMUM OUTER DIAMETER OF MORE THAN 30 MM, MADE OF STEEL, ARE RESPONSIBLE FOR THE PERCEPTION OF HIGH IMPACT LOADS, INTENDED FOR USE IN LINEAR MOVEMENT SYSTEMS OF CONVEYOR SYSTEMS IN THE INDUSTRY",,2806.0,PC,1646.94,10023.42,,,ОТСУТСТВУЕТ
2025-09-11,越南,中国,CÔNG TY TNHH LẬP VĂN,SHANGHAI FENGRUI TRADING CO LTD,"No. 2 Vsip II-A Industrial Park, Road No. 17, Vietnam Singapore II-A Industrial Park, Vinh Tan Ward, Ho Chi Minh City, Vietnam","NO.222, BUILDING B, NO. 333 CHUANGDA ROAD, QINGPU, SHANGHAI, CN",,,,China,,,,84821000,"Vòng bi tuyến tính bằng sắt, phi 35*75mm(dùng cho máy cắt giấy). Hàng mới 100% hàng không nhãn hiệu, có nhãn mác.,Linear ball bearings with iron, africa 35*75mm(use for paper cutting machine). 100% brand new, aviation brands have labels.",,117.0,Pieces,0.0,9687.6,,,
2025-04-04,印度,中国,FAIVELEY TRANSPORT RAIL TECHNOLOGIES INDIA PRIVATE,FAIVELEY METRO TECHNOLOGY SHANGHAI CO LTD,"HARITA,  HOSUR, ",,,,,CHINA,,Shanghai,BANGALORE ACC (INBLR4),84825000,12.1800.1094 LINEAR BEARING INA F-609645.KS 12.1800.1094 LINEAR BEARING INA F-609645.KS,,147.0,NOS,0.0,9613.8332,U3LOSJQ7AW6BH,,
2025-01-03,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Land Lot No. Tt3-09, Land Stuck Area, Lien Mac Ward, Bac Tu Liem District, Hanoi City, Vietnam","NO.1, LANE 333,MINYI ST, FUAN VILLAGE SIOUSHUEI  TOWNSHIP, CHANGHUA COUNTY 50444, TAIWAN, TW",,,,Taiwan,,,,84821000,"Con trượt ARC15MN S V0N bộ phận của thanh tuyến tính dẫn hướng, bằng thép, có ổ bi, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,ARC15MN S V0N linear guide rail part, steel, with ball bearing, metalworking machine spare part. Manufacturer: CPC, 100% new",,800.0,Pieces,0.0,9592.0,,,
2025-03-13,俄罗斯,中国,MAY LLC,SHANGHAI CHENBIN INDUSTRIAL CO LTD,"141191, МОСКОВСКАЯ ОБЛ., Г. ФРЯЗИНО, УЛ.ОЗЕРНАЯ, Д.1 А,","200540, , SHANGHAI, NO. 1500 TINGWEI ROAD, JINSHAN DISTRICT, ..,,",,,THK CO. LTD.,China (CN),Russia,,,8482800009,"STEEL LINEAR SLIDE BEARINGS FOR MAINTENANCE OF PREVIOUSLY IMPORTED LINE FOR PRODUCTION AND PACKAGING OF PYRAMID TYPE TEA BAGS TPB-200ES/16, FOR OWN PRODUCTION, NOT FOR SALE::",,37.0,PC,74.0,9371.6,,,THK
2025-01-14,肯尼亚,中国,KRONES LCS CENTRE EAST AFRICA LIMITED,KRONES AG,,,,,,China,Kenya,,,8482100000,Linear ball bearing; 370pce-Ang.-cont./Linear ball bearing; KRONES; Ang.-cont. b,,370.0,UNT,0.0,9306.9875,,,
2025-09-19,越南,中国,CÔNG TY TNHH XNK YOULI,PINGXIANG CHENGJIE IMP & EXP TRADE CO LTD,"3rd Floor, No. 126-128 Tran Vy, Phu Dien Ward, Hanoi City, Vietnam","NO. 1507, 15TH FLOOR, BUILDING B, NO. 18 TIANXIN ROAD, PINGXIANG TOWN, CN",,,,China,,,,84821000,"Vòng bi 3204A-2RS1TN9/C3MT33. Bằng sắt, kt 20x47x21mm. Dùng trong hệ thống chuyển động tuyến tính. không có tên thương hiệu, Nsx: PINGXIANG CHENGJIE IMP.&EXP. TRADE CO.,LTD. mới 100%,Bearing 3204A-2RS1TN9/C3MT33. Iron, kt 20x47x21mm. Used in a linear motion. no brand names, Manufacturer: PINGXIANG CHENGJIE IMP.&amp;EXP. TRADE CO.,LTD. new 100%",,80.0,Pieces,0.0,9098.4,,,
2025-07-04,越南,中国,CÔNG TY TNHH THIẾT BỊ CƠ ĐIỆN MINH THÀNH,HK TOMUU ACTUATOR TECHNOLOGY CO LIMITED,"Trang Due Residential Group (At Ngan Vu Company Limited), Le Loi Ward, An Duong District, Hai Phong City, Vietnam.","ROOM 1318-19, HOLLYWOOD PLAZA, 610 NATHAN ROAD, MONGKOK, KOWLOON, HONGKONG, CN",,,,China,,,,84821000,"TMA-MNA-U20A00058#& Ổ bi dùng cho hộp số động cơ của bộ truyền động tuyến tính, mới 100%,TMA-MNA-U20A00058#& Ball bearing for motor gearbox of linear actuator, 100% new",,8650.0,Pieces,0.0,8650.0,,,
2025-04-26,越南,中国香港,CÔNG TY TNHH THIẾT BỊ CƠ ĐIỆN MINH THÀNH,HK TOMUU ACTUATOR TECHNOLOGY CO LIMITED,"Trang Due Residential Group (at Ngan Vu Company Limited), Le Loi Ward, An Duong District, Hai Phong City, Vietnam.","ROOM 1318-19, HOLLYWOOD PLAZA, 610 NATHAN ROAD, MONGKOK, KOWLOON, HONGKONG, HK",,,,China,,,,84821000,"TMA-MNA-U20A00058#& Ổ bi dùng cho hộp số động cơ của bộ truyền động tuyến tính, mới 100%,TMA-MNA-U20A00058#& Ball bearing for motor gearbox of linear actuator, 100% new",,8640.0,Pieces,0.0,8640.0,,,
